Product Name,Year,Market Value ($M),Profit per Product ($),Ingredients,Likely Skin Cancer Type,Fertility Rate Reduction (%),SUNSCREEN_ID
Ancient Egyptian Oil,Pre-1900,0.5,0.01,"Rice Bran Oil, Jasmine Extract",Low Risk,0,1
Indigenous Sun Paste,Pre-1900,0.2,0.005,"Red Raspberry Seed Oil, Zinc Paste",Low Risk,0,2
L’Oréal UV Cream,1930s,5,0.5,Benzyl Salicylate,Low Risk,1,3
Coppertone PABA Lotion,1940s,10,1,"PABA, Benzophenone",BCC,2,4
Tanning Sunscreen,1960s,15,1.5,"PABA, Homosalate",BCC,3,5
Waterproof SPF Lotion,1980s,50,5,"Oxybenzone, Avobenzone","Melanoma, SCC",5,6
UV Defense SPF 15,Post-1990,4885,40.85,"Titanium Dioxide 6.3% , Zinc Oxide 4.0%Water , Dimethicone , Butyloctyl Salicylate , Polydiethylsiloxane , C12-15 Alkyl Benzoate , Isononyl Isononanoate , Diethylhexyl Succinate , Neopentyl Glycol Diheptanoate , Methyl Trimethicone , Butylene Glycol , Ethylhexyl Methoxycrylene , Lauryl Peg-9 Polydimethylsiloxyethyl Dimethicone , Silica , Laureth-4 , Cetyl Peg/Ppg-10/1 Dimethicone , Dipentaerythrityl Tri-Polyhydroxystearate , Hydrolyzed Wheat Protein/Pvp Crosspolymer , Caprylyl Glycol , Dimethicone Silylate , Dimethicone/Peg-10/15 Crosspolymer , Isostearic Acid , Dimethicone Crosspolymer-3 , Polyhydroxystearic Acid , Triethoxycaprylylsilane , Dipropylene Glycol , Phenoxyethanol , Iron Oxides (Ci 77491) , Iron Oxides (Ci 77492)",None (Protective),0,7
SkinSafe 50+,Post-1990,106,22.72,"Water, Butyloctyl Salicylate, Dimethicone, Butylene Glycol, Aluminum Starch Octenylsuccinate, Methyl Methacrylate Crosspolymer, Styrene/Acrylates Copolymer, PEG-8 Stearate, Glyceryl Stearate, Argania Spinosa (Argan) Kernel Oil, Spirulina Maxima (Algae) Extract, Hydrolyzed Vegetable Protein, Aristotelia Chilensis (Maqui) Fruit Extract, Aronia Arbutifolia (Chokeberry) Fruit Extract, Euterpe Oleracea (Acai) Fruit Extract, Garcinia Mangostana (Mangosteen) Fruit Extract, Lycium Barbarum Fruit (Goji) Extract, Morinda Citrifolia (Noni) Fruit Extract, Punica Granatum (Pomegranate) Fruit Extract, Vaccinium Myrtillus (Bilberry) Fruit Extract, Fragrance, Vp/Eicosene Copolymer, PEG-100 Stearate, Cetearyl Alcohol, Caprylyl Glycol, Sorbitan Oleate, PEG-8 Laurate, Hexylene Glycol, Tetrasodium Glutamate Diacetate, Xanthan Gum, Glycerin, Trehalose, Chlorphenesin, Citric Acid, Benzoic Acid, Sorbic Acid, Phenoxyethanol, Hydroxycitronellal, Butylphenyl Methylpropional, Linalool, Hexyl Cinnamal, Alpha-Isomethyl Ionone.",Low Risk,0,8
SunGuard 15+,Post-1990,1742,10.32,"Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Anacyclus Pyrethrum Root Extract, Arnica Montana Flower Extract, Water, Benzylidene Dimethoxydimethylindanone, Butyloctyl Salicylate, Butylparaben, C12-15 Alkyl Benzoate, Camellia Oleifera (Green Tea) Leaf Extract, Camellia Sinensis (White Tea) Leaf Extract, Carbomer, Cucumis Sativus (Cucumber) Fruit Extract, Cyclohexasiloxane, Cyclopentasiloxane, Diazolidinyl Urea, Disodium EDTA, Ethylparaben, Glycerin, Glyceryl Stearate SE, Lentinula Edodes (Shiitake Mushroom) Extract, Methyl Methacrylate/ Glycol Dimethacrylate Crosspolymer, Methylparaben, Morinda Citrifolia Extract, Phenoxyethanol, Polysorbate 20, Propylparaben, Punica Granatum (Pomegranate) Fruit Extract, Sodium Ascorbyl Phosphate, Sodium Hyaluronate, Sorbitan Oleate, Stearic Acid, Tocopherol, Tocopheryl Acetate, Tricalcium Phosphate, Triethanolamine, Ubiquinone, Yeast Amino Acids.",Low Risk,0,9
UV Defense SPF 50,Post-1990,3976,30.51,"Titanium Dioxide 3.2% , Zinc Oxide 2.0%Water , Dimethicone , Butyloctyl Salicylate , Methyl Trimethicone , Isononyl Isononanoate , Neopentyl Glycol Diheptanoate , Diethylhexyl Succinate , C12-15 Alkyl Benzoate , Butylene Glycol , Dipentaerythrityl Tri-Polyhydroxystearate , Lauryl Peg-9 Polydimethylsiloxyethyl Dimethicone , Trimethylsiloxysilicate , Hydroxyapatite , Cetyl Peg/Ppg-10/1 Dimethicone , Hydrolyzed Wheat Protein/Pvp Crosspolymer , Caprylyl Glycol , Dimethicone Silylate , Triethoxycaprylylsilane , Dimethicone Crosspolymer-3 , Dipropylene Glycol , Dimethicone/Peg-10/15 Crosspolymer , Isostearic Acid , Silica , Polyhydroxystearic Acid , Sodium Citrate , Phenoxyethanol , Iron Oxides (Ci 77492) , Iron Oxides (Ci 77491)",None (Protective),0,10
